CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
100000000,Existing Customer,57,F,0,Uneducated,Divorced,$40K - $60K,Blue,51,1,2,6,3206.56,1878.94,1327.62,1.07,13740,34,2.09,0.59
100000001,Attrited Customer,61,F,3,Post-Graduate,Single,$40K - $60K,Silver,19,2,2,6,5134.84,2498.54,2636.3,2.65,14279,64,0.61,0.49
100000002,Existing Customer,62,F,0,High School,Divorced,Less than $40K,Blue,31,2,6,3,20704.64,1581.42,19123.22,2.0,19353,41,1.36,0.08
100000003,Existing Customer,39,M,3,Doctorate,Married,$60K - $80K,Blue,20,5,0,5,28157.67,552.7,27604.97,2.56,18360,123,0.71,0.02
100000004,Existing Customer,52,F,3,Graduate,Single,$120K +,Blue,24,1,5,0,27955.43,1430.73,26524.7,0.6,1205,69,0.46,0.05
100000005,Existing Customer,44,F,3,College,Married,$80K - $120K,Blue,32,5,5,5,15447.48,612.69,14834.79,2.4,6361,144,0.77,0.04
100000006,Existing Customer,56,M,0,College,Married,$40K - $60K,Blue,39,4,3,3,9789.32,825.5,8963.82,0.28,5003,122,2.25,0.08
100000007,Attrited Customer,71,M,5,High School,Married,$60K - $80K,Blue,55,4,6,3,27782.07,880.11,26901.96,1.3,6696,15,1.92,0.03
100000008,Existing Customer,34,F,2,College,Single,$120K +,Blue,18,5,5,5,33098.32,1299.96,31798.36,0.98,3825,104,0.57,0.04
100000009,Existing Customer,63,F,5,College,Married,$40K - $60K,Blue,42,4,6,1,16100.44,1309.33,14791.11,2.0,13903,110,2.29,0.08
100000010,Existing Customer,42,F,1,Post-Graduate,Divorced,$60K - $80K,Blue,34,3,5,2,5667.4,1668.3,3999.1,2.34,4571,23,1.87,0.29
100000011,Attrited Customer,44,M,1,College,Divorced,Unknown,Blue,24,6,4,4,21730.8,1094.31,20636.49,1.17,10194,107,2.32,0.05
100000012,Existing Customer,69,M,5,College,Single,$120K +,Blue,56,3,0,6,3435.59,469.24,2966.35,2.54,3671,127,0.76,0.14
100000013,Existing Customer,29,F,2,Post-Graduate,Single,Unknown,Blue,47,6,5,5,21791.02,1227.47,20563.55,1.74,7384,69,0.68,0.06
100000014,Existing Customer,36,F,2,Doctorate,Married,$60K - $80K,Blue,13,6,2,0,6880.16,1991.17,4888.99,2.31,6217,111,1.52,0.29
100000015,Existing Customer,47,M,3,College,Single,$80K - $120K,Blue,45,3,4,4,18543.29,1757.06,16786.23,2.23,8716,91,0.35,0.09
100000016,Existing Customer,29,M,3,Doctorate,Divorced,$60K - $80K,Blue,16,2,1,3,22266.8,288.19,21978.61,0.59,15888,111,2.15,0.01
100000017,Existing Customer,42,M,1,Post-Graduate,Divorced,$60K - $80K,Blue,13,2,6,2,16188.67,2370.84,13817.83,2.25,757,141,1.9,0.15
100000018,Existing Customer,33,M,3,Graduate,Divorced,Less than $40K,Blue,58,1,5,1,29128.09,764.57,28363.52,2.51,6304,22,0.79,0.03
100000019,Existing Customer,71,F,3,College,Single,$80K - $120K,Blue,45,2,2,1,13740.1,1466.15,12273.95,0.3,2481,131,2.48,0.11
100000020,Existing Customer,59,M,2,High School,Divorced,Unknown,Blue,13,6,5,0,6271.11,80.17,6190.94,0.65,15638,105,1.88,0.01
100000021,Existing Customer,36,M,0,Uneducated,Single,$60K - $80K,Blue,31,5,1,6,16772.76,2273.69,14499.07,1.66,6328,57,0.67,0.14
100000022,Existing Customer,56,F,5,Graduate,Married,$80K - $120K,Blue,19,1,4,2,33760.32,1708.93,32051.39,0.36,1257,82,1.51,0.05
100000023,Existing Customer,36,M,4,College,Divorced,$60K - $80K,Blue,34,1,3,5,30926.2,690.14,30236.06,1.23,16361,136,1.87,0.02
100000024,Existing Customer,63,F,4,High School,Married,$80K - $120K,Blue,48,5,6,6,11576.83,1708.33,9868.5,2.55,13421,61,1.92,0.15
100000025,Existing Customer,46,M,3,Uneducated,Divorced,$120K +,Blue,27,3,0,0,9251.97,731.37,8520.6,0.48,5435,41,0.89,0.08
100000026,Existing Customer,71,F,3,Post-Graduate,Divorced,$40K - $60K,Blue,33,2,0,1,17431.8,649.31,16782.49,0.59,9598,93,1.14,0.04
100000027,Existing Customer,55,M,5,College,Divorced,Less than $40K,Gold,57,1,3,3,23275.37,1117.46,22157.91,0.53,11779,72,0.47,0.05
100000028,Existing Customer,35,F,4,Doctorate,Married,$40K - $60K,Blue,19,3,0,0,32508.46,1500.16,31008.3,1.73,10757,51,1.17,0.05
100000029,Existing Customer,51,F,2,Doctorate,Divorced,$60K - $80K,Blue,54,6,5,2,21853.09,523.37,21329.72,1.05,9877,90,1.21,0.02
100000030,Existing Customer,52,M,4,Post-Graduate,Married,$60K - $80K,Blue,54,4,5,5,29427.96,1857.26,27570.7,2.49,4272,109,1.33,0.06
100000031,Existing Customer,33,F,4,Graduate,Single,$120K +,Blue,37,6,0,0,24666.5,1445.13,23221.37,1.83,7039,124,0.44,0.06
100000032,Existing Customer,64,F,4,Doctorate,Divorced,$60K - $80K,Blue,51,3,6,5,4451.78,18.65,4433.13,2.08,13965,65,2.41,0.0
100000033,Attrited Customer,33,M,3,Uneducated,Divorced,Unknown,Blue,34,3,1,1,31320.71,1373.44,29947.27,1.06,10993,20,1.51,0.04
100000034,Attrited Customer,33,F,3,Doctorate,Married,$80K - $120K,Blue,27,6,0,0,7784.27,1052.29,6731.98,1.58,6881,52,1.56,0.14
100000035,Existing Customer,59,F,5,Uneducated,Divorced,Unknown,Blue,32,2,1,3,13466.0,1673.4,11792.6,1.24,15505,82,0.64,0.12
100000036,Existing Customer,41,M,4,Doctorate,Single,$40K - $60K,Blue,51,4,0,5,29568.9,2244.45,27324.45,1.59,13618,139,2.91,0.08
100000037,Existing Customer,66,M,3,Post-Graduate,Divorced,$60K - $80K,Blue,40,1,5,1,34293.24,656.62,33636.62,2.13,4824,127,0.77,0.02
100000038,Existing Customer,38,F,5,Post-Graduate,Single,$120K +,Blue,31,6,0,5,11560.8,1684.2,9876.6,1.46,14078,79,0.68,0.15
100000039,Existing Customer,48,F,4,Doctorate,Single,Less than $40K,Blue,23,5,2,0,14029.58,379.17,13650.41,0.39,2750,138,2.62,0.03
100000040,Existing Customer,37,F,2,Graduate,Divorced,Unknown,Blue,48,1,6,4,17510.86,213.99,17296.87,1.24,6547,69,2.72,0.01
100000041,Existing Customer,52,F,3,High School,Divorced,$40K - $60K,Blue,37,2,6,5,17931.72,2329.57,15602.15,2.69,16429,111,0.7,0.13
100000042,Existing Customer,47,F,0,Doctorate,Single,$120K +,Blue,14,6,6,4,26512.75,2155.72,24357.03,2.5,4723,28,2.43,0.08
100000043,Attrited Customer,57,M,5,College,Single,$120K +,Blue,29,1,3,1,28782.04,1253.51,27528.53,2.53,3999,138,0.31,0.04
100000044,Existing Customer,52,F,3,High School,Single,$40K - $60K,Blue,12,2,2,3,34695.22,345.81,34349.41,0.71,13255,55,1.45,0.01
100000045,Existing Customer,27,M,2,Doctorate,Divorced,$120K +,Blue,30,2,0,6,28343.78,658.31,27685.47,0.42,12334,105,0.27,0.02
100000046,Existing Customer,70,M,2,Uneducated,Married,Less than $40K,Blue,24,1,1,6,11192.57,1418.45,9774.12,2.48,8797,128,1.12,0.13
100000047,Existing Customer,58,M,3,College,Divorced,Less than $40K,Blue,54,5,0,2,13177.12,1629.62,11547.5,2.06,4698,138,2.8,0.12
100000048,Existing Customer,51,M,1,Graduate,Married,$60K - $80K,Blue,44,5,6,3,22013.97,1726.52,20287.45,1.62,1246,71,1.6,0.08
100000049,Existing Customer,53,F,5,High School,Married,$80K - $120K,Blue,41,1,4,0,24345.69,1869.53,22476.16,2.12,4449,136,0.39,0.08
100000050,Attrited Customer,44,F,4,High School,Divorced,$60K - $80K,Silver,33,4,4,1,4058.71,524.68,3534.03,2.81,514,132,1.49,0.13
100000051,Existing Customer,68,F,4,College,Married,$80K - $120K,Blue,38,3,4,4,12685.06,740.63,11944.43,0.56,12964,87,0.46,0.06
100000052,Attrited Customer,30,M,2,Graduate,Single,$40K - $60K,Blue,24,5,4,2,7890.67,31.56,7859.11,0.67,13906,18,2.83,0.0
100000053,Attrited Customer,58,M,3,Doctorate,Divorced,$120K +,Silver,19,2,6,6,18266.88,184.96,18081.92,1.85,2802,52,0.28,0.01
100000054,Existing Customer,45,F,1,Graduate,Married,$60K - $80K,Blue,13,5,0,1,6735.72,773.73,5961.99,2.18,10852,48,1.79,0.11
100000055,Attrited Customer,55,M,5,Doctorate,Single,$120K +,Blue,30,6,4,1,20745.21,464.44,20280.77,2.0,10198,18,0.43,0.02
100000056,Existing Customer,70,F,0,High School,Married,$60K - $80K,Blue,35,4,3,1,16888.08,1231.35,15656.73,0.91,13775,20,1.14,0.07
100000057,Existing Customer,33,M,4,Doctorate,Married,$60K - $80K,Blue,16,1,0,0,14733.41,2121.65,12611.76,1.94,19236,20,2.23,0.14
100000058,Existing Customer,63,M,5,High School,Single,Less than $40K,Blue,19,4,2,4,23064.4,1807.47,21256.93,1.77,552,35,1.91,0.08
100000059,Existing Customer,42,M,5,Post-Graduate,Single,$80K - $120K,Blue,31,3,0,5,15154.94,1886.46,13268.48,0.27,11334,146,1.07,0.12
100000060,Existing Customer,69,M,1,College,Divorced,$40K - $60K,Blue,46,5,1,4,14575.01,1500.63,13074.38,1.94,5413,146,0.43,0.1
100000061,Existing Customer,26,M,5,Graduate,Married,$120K +,Blue,13,6,6,4,23138.14,1751.09,21387.05,1.46,9590,145,2.79,0.08
100000062,Existing Customer,28,M,4,Uneducated,Divorced,$60K - $80K,Blue,17,2,6,6,2947.73,450.0,2497.73,2.59,19447,24,1.88,0.15
100000063,Existing Customer,71,M,3,College,Divorced,$120K +,Blue,27,6,3,2,15704.4,1381.16,14323.24,2.03,6583,110,2.73,0.09
100000064,Existing Customer,51,F,4,Doctorate,Married,Less than $40K,Blue,58,2,0,5,7643.62,1426.48,6217.14,1.73,8849,99,2.23,0.19
100000065,Existing Customer,56,F,0,Post-Graduate,Married,$40K - $60K,Blue,47,4,2,5,2311.48,1571.78,739.7,2.71,18024,86,1.32,0.68
100000066,Existing Customer,33,M,3,College,Divorced,$80K - $120K,Blue,13,6,1,5,2179.21,1948.2,231.01,2.06,15092,101,2.75,0.89
100000067,Existing Customer,68,M,2,High School,Single,$80K - $120K,Blue,25,6,5,6,6699.1,2360.01,4339.09,0.9,5972,10,0.45,0.35
100000068,Existing Customer,71,F,1,College,Divorced,$60K - $80K,Blue,49,1,1,0,15754.0,1779.3,13974.7,1.51,8379,27,0.75,0.11
100000069,Attrited Customer,33,M,4,Doctorate,Married,$40K - $60K,Silver,37,3,2,3,20267.75,2306.41,17961.34,2.08,2697,23,2.05,0.11
100000070,Existing Customer,60,F,3,College,Single,$80K - $120K,Blue,31,1,6,4,28060.58,1374.8,26685.78,2.5,7172,144,2.83,0.05
100000071,Existing Customer,64,F,5,College,Divorced,$40K - $60K,Blue,40,5,5,3,21661.54,723.35,20938.19,0.99,1811,61,2.52,0.03
100000072,Existing Customer,53,F,3,Doctorate,Married,$120K +,Blue,15,6,2,6,18681.89,1646.33,17035.56,2.23,1448,136,1.16,0.09
100000073,Existing Customer,29,F,4,Uneducated,Single,Less than $40K,Blue,31,4,2,1,2236.46,2452.34,-215.88,2.11,18624,25,0.45,1.1
100000074,Existing Customer,41,F,2,Post-Graduate,Single,$40K - $60K,Blue,35,4,6,5,11128.59,1774.27,9354.32,0.61,10843,41,1.35,0.16
100000075,Existing Customer,38,M,4,College,Single,$40K - $60K,Blue,12,2,2,1,24537.21,2422.53,22114.68,0.63,14945,78,2.49,0.1
100000076,Existing Customer,45,M,2,College,Married,$80K - $120K,Gold,36,5,6,1,10197.49,55.98,10141.51,1.6,8450,11,2.4,0.01
