iter	Passed	Remaining
0	2	1421
1	5	1380
2	8	1403
3	11	1427
4	14	1398
5	16	1385
6	19	1361
7	21	1347
8	24	1351
9	29	1425
10	32	1456
11	36	1474
12	39	1479
13	43	1519
14	46	1509
15	49	1496
16	52	1492
17	55	1488
18	58	1490
19	61	1479
20	64	1468
21	67	1468
22	70	1466
23	74	1478
24	77	1476
25	81	1489
26	85	1497
27	89	1503
28	92	1499
29	95	1499
30	98	1495
31	102	1494
32	105	1499
33	109	1496
34	112	1498
35	116	1498
36	119	1499
37	123	1500
38	126	1495
39	129	1493
40	133	1493
41	136	1492
42	140	1492
43	143	1488
44	147	1487
45	150	1484
46	154	1488
47	158	1487
48	161	1487
49	165	1485
50	169	1487
51	172	1489
52	176	1485
53	179	1483
54	182	1479
55	187	1482
56	190	1479
57	193	1476
58	197	1477
59	202	1483
60	205	1481
61	209	1478
62	213	1478
63	217	1481
64	221	1480
65	224	1477
66	228	1474
67	231	1473
68	235	1472
69	239	1469
70	242	1465
71	246	1466
72	251	1469
73	255	1468
74	258	1466
75	262	1466
76	266	1462
77	270	1461
78	273	1460
79	278	1459
80	282	1460
81	286	1462
82	291	1462
83	295	1461
84	299	1463
85	303	1463
86	308	1463
87	312	1461
88	317	1468
89	322	1469
90	326	1467
91	331	1469
92	336	1470
93	341	1474
94	346	1476
95	351	1477
96	356	1479
97	360	1480
98	366	1483
99	370	1480
100	373	1476
101	378	1477
102	384	1481
103	388	1479
104	392	1477
105	398	1480
106	402	1479
107	407	1478
108	412	1479
109	417	1480
110	421	1478
111	426	1476
112	431	1476
113	435	1474
114	439	1472
115	444	1471
116	449	1470
117	453	1469
118	460	1475
119	465	1475
120	470	1472
121	472	1463
122	477	1463
123	482	1462
124	487	1462
125	492	1463
126	497	1460
127	502	1459
128	507	1458
129	512	1457
130	516	1455
131	520	1452
132	525	1450
133	530	1449
134	535	1447
135	539	1444
136	544	1442
137	549	1440
138	553	1437
139	558	1436
140	563	1434
141	568	1432
142	573	1431
143	577	1428
144	582	1427
145	587	1424
146	592	1423
147	597	1420
148	601	1417
149	606	1414
150	610	1411
151	615	1409
152	620	1407
153	624	1402
154	629	1401
155	634	1398
156	639	1396
157	643	1392
158	647	1388
159	652	1385
160	656	1382
161	660	1378
162	665	1375
163	671	1375
164	676	1372
165	680	1369
166	685	1367
167	690	1365
168	695	1362
169	700	1359
170	705	1356
171	709	1353
172	713	1349
173	720	1349
174	725	1347
175	730	1344
176	736	1344
177	741	1341
178	746	1339
179	753	1339
180	758	1336
181	763	1334
182	771	1335
183	776	1333
184	782	1331
185	787	1329
186	792	1327
187	797	1324
188	802	1321
189	807	1318
190	812	1314
191	818	1312
192	823	1309
193	828	1306
194	833	1303
195	837	1299
196	842	1296
197	847	1293
198	852	1289
199	857	1286
200	862	1282
201	867	1279
202	872	1276
203	877	1273
204	882	1270
205	887	1267
206	892	1263
207	898	1261
208	903	1257
209	908	1254
210	913	1251
211	918	1247
212	922	1243
213	928	1240
214	932	1236
215	937	1232
216	941	1227
217	946	1224
218	950	1219
219	955	1215
220	959	1211
221	964	1207
222	969	1203
223	974	1201
224	980	1197
225	985	1194
226	990	1191
227	995	1187
228	1000	1183
229	1005	1180
230	1009	1175
231	1014	1172
232	1019	1167
233	1023	1163
234	1028	1159
235	1033	1155
236	1037	1151
237	1043	1149
238	1049	1145
239	1054	1142
240	1059	1138
241	1064	1134
242	1069	1131
243	1075	1127
244	1080	1124
245	1086	1121
246	1091	1118
247	1096	1114
248	1101	1110
249	1107	1107
250	1112	1103
251	1117	1099
252	1122	1095
253	1127	1092
254	1133	1088
255	1138	1085
256	1145	1082
257	1150	1079
258	1155	1075
259	1160	1071
260	1165	1067
261	1172	1064
262	1176	1060
263	1181	1056
264	1188	1053
265	1194	1050
266	1200	1047
267	1207	1044
268	1212	1041
269	1220	1039
270	1225	1035
271	1231	1032
272	1236	1028
273	1242	1025
274	1250	1022
275	1255	1018
276	1260	1014
277	1265	1010
278	1272	1007
279	1279	1005
280	1285	1001
281	1290	997
282	1297	994
283	1304	991
284	1312	990
285	1320	988
286	1326	984
287	1332	980
288	1339	977
289	1347	975
290	1353	972
291	1361	969
292	1367	965
293	1372	961
294	1377	957
295	1381	952
296	1386	947
297	1391	943
298	1395	938
299	1400	933
300	1405	929
301	1409	924
302	1414	919
303	1419	915
304	1424	910
305	1429	906
306	1434	901
307	1439	897
308	1444	893
309	1449	888
310	1454	883
311	1459	879
312	1464	874
313	1469	870
314	1475	866
315	1479	861
316	1484	857
317	1489	852
318	1494	848
319	1499	843
320	1504	838
321	1509	834
322	1515	830
323	1522	826
324	1527	822
325	1534	818
326	1539	814
327	1545	810
328	1553	807
329	1560	803
330	1567	800
331	1572	795
332	1578	791
333	1584	787
334	1588	782
335	1594	778
336	1600	774
337	1606	769
338	1611	765
339	1616	760
340	1621	755
341	1627	751
342	1633	747
343	1639	743
344	1644	738
345	1649	734
